lith DT24/DTC GR M2R2 M2R3 M2R6 M2R9 M2RX ZDEN CNCF PE SP clay silica carbonate
8.00000 65.47400 65.15900 40.45700 48.44900 58.33800 63.79300 66.49300 2.58900 15.92300 1.94400 0.23509 13.00000 81.00000 6.00000
8.00000 65.22000 53.13500 48.02000 52.23200 58.77700 61.95300 63.46700 2.60300 12.65100 2.59000 0.17516 32.00000 68.00000 0.00000
8.00000 62.98000 52.78100 49.04900 60.52300 76.03300 84.99500 89.56900 2.60400 12.69500 1.75000 0.19838 3.00000 66.00000 31.00000
10.00000 64.94200 51.05900 89.07900 91.47500 91.48800 93.91700 93.00900 2.53100 8.49900 2.56300 0.45484 13.00000 82.00000 5.00000
8.00000 62.21600 82.15300 80.46300 81.15100 81.24000 83.24100 85.00100 2.63300 11.82400 2.07300 0.48906 15.00000 83.00000 2.00000
4.00000 63.47900 147.31900 71.06200 71.35200 70.82300 71.63900 71.24800 2.60900 27.46400 2.93900 0.10587 57.00000 42.00000 1.00000
4.00000 67.33700 114.26800 137.59000 143.57600 180.85400 198.01700 213.28200 2.62100 22.87000 3.72700 0.57839 11.00000 3.00000 86.00000
7.00000 66.89500 75.08600 48.81800 48.86600 49.52300 49.25000 49.82000 2.53900 11.28500 1.77100 0.42807 11.00000 62.00000 27.00000
10.00000 62.54700 85.95000 68.07300 68.14400 68.40800 68.30000 68.51800 2.59700 11.30500 1.85300 0.28974 9.00000 82.00000 9.00000
10.00000 62.53500 77.08500 73.49200 73.58400 73.74300 73.65300 73.83300 2.63700 11.74900 2.12700 0.36095 18.00000 74.00000 8.00000
10.00000 56.61100 87.52000 211.60100 209.04300 199.77000 204.06000 197.15600 2.70100 13.62600 3.15800 0.46370 13.00000 78.00000 9.00000
4.00000 75.51400 102.04000 51.90800 51.78500 53.19300 54.15000 54.61000 2.48400 14.10100 1.76300 0.39299 12.00000 82.00000 6.00000
10.00000 75.43800 65.54000 37.52900 37.63300 37.90000 38.33700 38.59800 2.52800 10.46600 1.61900 0.20046 17.00000 76.00000 7.00000
10.00000 68.09500 171.26500 89.50200 87.99500 90.32300 92.66300 93.69100 2.55100 10.60000 1.89100 0.14845 17.00000 80.00000 3.00000
10.00000 66.78000 133.29700 48.15900 48.78400 50.41800 51.57500 52.18200 2.56700 10.35900 2.21400 0.13770 17.00000 78.00000 5.00000
8.00000 62.30800 120.51300 98.44800 99.57100 99.86800 101.43600 102.15300 2.62600 11.64100 2.28500 0.35613 32.00000 58.00000 10.00000
3.00000 65.21900 124.81900 104.39700 101.89400 102.79000 105.30700 106.34200 2.63900 19.82700 2.12900 0.60492 30.00000 61.00000 9.00000
3.00000 63.60800 156.22100 73.75800 73.28200 73.08900 74.03700 74.46500 2.64900 26.46700 2.45000 0.60248 42.00000 54.00000 4.00000
8.00000 65.88200 59.02500 34.43400 35.31500 37.04700 37.74200 38.11600 2.50600 8.03000 1.40400 0.02231 12.00000 85.00000 3.00000
8.00000 64.89900 65.58400 35.02800 35.31600 36.81400 37.47600 37.79300 2.51400 7.02800 1.74000 0.15812 9.00000 88.00000 3.00000
8.00000 65.89400 86.96200 27.60500 28.57600 29.80000 30.34900 30.65000 2.51900 9.05600 1.52500 0.10898 19.00000 73.00000 8.00000
8.00000 64.08100 90.75300 32.35300 32.87200 34.33600 34.97900 35.26600 2.55100 7.76600 1.57000 0.19317 29.00000 64.00000 7.00000
8.00000 64.35100 84.99200 32.87000 33.18100 34.38600 34.93600 35.19800 2.56300 7.68400 1.65800 0.19908 29.00000 64.00000 7.00000
8.00000 63.18800 133.94200 45.47700 47.01200 49.68700 50.98200 51.53500 2.57200 8.54500 2.30400 0.31689 28.00000 65.00000 7.00000
8.00000 63.33600 100.31000 44.68100 46.15400 48.67200 49.90700 50.44200 2.57400 8.01300 2.31600 0.31117 21.00000 72.00000 7.00000
8.00000 61.81500 71.38800 36.03800 36.27600 37.07700 37.59100 37.86800 2.57600 6.91500 1.68700 0.51566 28.00000 68.00000 4.00000
8.00000 63.32200 67.10900 48.26800 48.97300 51.71400 52.98100 53.54400 2.57700 7.61200 2.33100 0.30145 16.00000 79.00000 5.00000
8.00000 63.36800 66.04800 47.86200 48.03600 50.33400 51.34600 51.79600 2.58600 7.94400 2.20400 0.31592 10.00000 81.00000 9.00000
8.00000 61.89600 95.58600 44.31100 45.64200 48.47700 49.78500 50.43200 2.58900 10.20400 1.84000 0.40493 8.00000 63.00000 29.00000
8.00000 62.18400 127.09900 51.21500 50.59400 53.34900 54.53100 54.93800 2.60500 10.33400 1.81500 0.24204 11.00000 85.00000 4.00000
8.00000 61.90100 121.87500 43.19500 43.51600 45.78000 46.78400 47.24900 2.60800 8.64700 1.55800 0.44236 16.00000 78.00000 6.00000
