lith DTC LnM GR GR_silica GR_clay M2R2 M2R3 M2R6 M2R9 M2RX F ZDEN ZDENm CNCF CNCFm CNCF_clay TM TP TN PE SP Silica clay carbonate
10.00000 65.32500 0.78009 83.74000 1.57905 0.54318 70.86700 71.82100 71.97100 72.48400 72.47400 0.97783 2.58900 0.35473 7.59000 0.06846 1.33145 1.03008 0.78836 5.83921 2.13400 0.22845 71.00000 26.00000 3.00000
10.00000 65.31300 0.80607 81.02600 1.60163 0.52898 172.79100 145.85000 141.99200 136.06400 134.15700 1.28798 2.57200 0.29730 17.63700 0.32860 0.96918 1.03484 0.83844 5.58051 1.88000 0.37306 76.70000 23.30000 0.00000
8.00000 65.24200 1.18484 55.06400 1.80292 0.41059 84.85700 74.28200 65.25500 62.78600 61.60200 1.37750 2.57300 0.30068 9.91500 0.12866 1.18770 1.03511 0.80006 5.80038 1.73500 0.87625 93.00000 5.00000 2.00000
8.00000 65.22000 1.22744 53.13500 1.81678 0.40294 48.02000 52.23200 58.77700 61.95300 63.46700 0.75661 2.60300 0.40203 12.65100 0.19950 1.22449 1.02707 0.81363 5.67644 2.59000 0.17516 68.00000 32.00000 0.00000
3.00000 65.21900 0.52251 124.81900 1.20801 0.81103 104.39700 101.89400 102.79000 105.30700 106.34200 0.98171 2.63900 0.52365 19.82700 0.38531 1.14837 1.01743 0.85086 5.41650 2.12900 0.60492 61.00000 30.00000 9.00000
8.00000 65.20600 0.87447 74.56600 1.65423 0.49666 47.99400 47.98500 48.08900 48.21800 48.52200 0.98912 2.55000 0.22297 8.21800 0.08472 1.14827 1.04178 0.79223 5.88511 1.72800 0.75322 81.00000 11.00000 8.00000
10.00000 65.20300 0.98761 66.02100 1.72129 0.45693 104.44500 88.40700 76.75000 72.84500 71.56500 1.45944 2.57800 0.31757 7.19700 0.05828 1.29600 1.03403 0.78745 5.86765 1.82000 0.38391 81.00000 15.30000 3.70000
7.00000 65.19900 0.90895 71.73000 1.67681 0.48311 45.95800 44.83500 42.74300 41.88400 41.53800 1.10641 2.59300 0.36824 6.54600 0.04143 1.38654 1.02995 0.78445 5.86136 1.90000 0.28654 72.00000 18.00000 10.00000
8.00000 64.98900 0.57409 113.20300 1.31770 0.72411 88.95400 89.13600 89.20600 89.30200 89.38200 0.99521 2.61000 0.42568 11.70400 0.17498 1.28492 1.02694 0.81070 5.69230 2.00500 0.20908 69.00000 22.00000 9.00000
10.00000 64.94200 1.27190 51.05900 1.83152 0.39486 89.07900 91.47500 91.48800 93.91700 93.00900 0.95775 2.53100 0.15878 8.49900 0.09200 1.06907 1.04915 0.79558 5.90885 2.56300 0.45484 82.00000 13.00000 5.00000
3.00000 64.91500 0.57887 112.14000 1.32758 0.71664 62.16900 63.74700 66.82100 68.64000 70.24800 0.88499 2.67600 0.64865 9.78700 0.12535 1.68759 1.01005 0.80194 5.64627 2.40000 0.36817 65.60000 26.00000 8.40000
8.00000 64.89900 0.98956 65.58400 1.72464 0.45498 35.02800 35.31600 36.81400 37.47600 37.79300 0.92684 2.51400 0.10135 7.02800 0.05391 1.04859 1.05432 0.78898 5.97884 1.74000 0.15812 88.00000 9.00000 3.00000
10.00000 64.88700 0.82112 79.02300 1.61811 0.51874 117.31100 100.98100 97.40600 93.30100 92.12100 1.27344 2.59500 0.37500 15.97000 0.28544 1.09369 1.03178 0.83298 5.59388 2.22000 0.36613 72.70000 27.30000 0.00000
7.00000 64.66400 0.82064 78.79700 1.61996 0.51760 82.82000 98.12800 104.19400 113.97600 118.29800 0.70010 2.61800 0.45270 14.97600 0.25970 1.21288 1.02725 0.82957 5.58767 2.22100 0.59875 56.00000 42.40000 1.60000
4.00000 64.66000 0.56677 114.08600 1.30947 0.73038 148.67500 148.91900 149.98000 150.69200 153.34500 0.96955 2.65000 0.56081 21.98600 0.44121 1.12705 1.01878 0.86697 5.33713 2.73300 0.66019 73.00000 19.00000 8.00000
8.00000 64.65000 1.30023 49.72200 1.84091 0.38974 188.80000 188.80000 188.80000 188.80000 188.80000 1.00000 2.57200 0.29730 4.94600 0.00000 1.34622 1.03988 0.78124 5.93886 1.03700 0.32310 89.00000 9.00000 2.00000
10.00000 64.58100 1.40473 45.97400 1.86686 0.37574 59.74700 57.43800 56.06400 56.06400 56.06400 1.06569 2.51300 0.09797 10.73100 0.14979 0.94950 1.05702 0.80904 5.87591 1.30000 0.30200 86.40000 13.10000 0.50000
11.00000 64.41800 0.96271 66.91300 1.71442 0.46092 61.66700 69.99900 81.29000 86.95900 89.38900 0.68987 2.57000 0.29054 7.85400 0.07530 1.24017 1.04219 0.79649 5.86250 2.13700 0.53272 76.00000 15.00000 9.00000
10.00000 64.38400 1.12334 57.31500 1.78655 0.41971 100.61300 90.22300 83.27900 80.05100 79.17100 1.27083 2.56000 0.25676 8.25900 0.08578 1.18646 1.04522 0.79866 5.86756 1.45000 0.22736 78.90000 19.60000 1.50000
8.00000 64.35100 0.75714 84.99200 1.56854 0.54985 32.87000 33.18100 34.38600 34.93600 35.19800 0.93386 2.56300 0.26689 7.68400 0.07089 1.21652 1.04463 0.79619 5.87860 1.65800 0.19908 64.00000 29.00000 7.00000
10.00000 64.31300 0.82536 77.92100 1.62711 0.51319 112.04600 110.64200 110.35900 109.92400 110.37500 1.01514 2.58700 0.34797 8.44200 0.09052 1.29363 1.03830 0.80006 5.81895 2.08100 0.22128 77.00000 15.00000 8.00000
8.00000 64.08100 0.70610 90.75300 1.51945 0.58165 32.35300 32.87200 34.33600 34.97900 35.26600 0.91740 2.55100 0.22635 7.76600 0.07302 1.16571 1.05000 0.79860 5.89603 1.57000 0.19317 64.00000 29.00000 7.00000
3.00000 64.07500 0.42119 152.12900 0.94298 1.05871 118.59500 119.21100 123.11200 126.86700 128.84800 0.92043 2.68800 0.68919 23.80300 0.48826 1.22254 1.01329 0.88160 5.23081 2.68100 0.46540 31.26453 68.35262 0.00000
10.00000 64.06500 1.03872 61.67700 1.75424 0.43796 118.16300 100.05300 86.47900 81.83800 80.42300 1.46927 2.60100 0.39527 8.42200 0.09000 1.35699 1.03635 0.80182 5.79734 1.88000 0.22465 76.70000 16.00000 7.30000
7.00000 63.95700 0.70056 91.29400 1.51478 0.58473 70.29300 67.72800 63.52400 61.54100 60.78000 1.15652 2.67700 0.65203 6.44800 0.03889 1.84621 1.01701 0.79337 5.73461 1.56200 0.40665 72.00000 21.00000 7.00000
7.00000 63.95000 0.52208 122.49100 1.23021 0.79281 111.79600 111.27700 111.20100 111.15700 111.53800 1.00231 2.64900 0.55743 18.61900 0.35403 1.22557 1.02438 0.85395 5.43741 1.65700 0.60248 60.00000 31.00000 9.00000
8.00000 63.84600 0.48973 130.37000 1.15468 0.85617 127.93200 128.07000 128.08100 128.08100 128.08100 0.99884 2.61700 0.44932 21.65300 0.43259 1.01688 1.03366 0.87123 5.39414 1.86300 0.58725 62.00000 34.00000 4.00000
